function	dimension	best	worst	avg	std
ackley	1	1.92e-13	4.57e-08	1.69e-09	8.19e-09
ackley	2	6.48e-09	0.008124054011	0.0008830261543	0.001910291874
ackley	5	0.002608761548	0.1085240147	0.01954913154	0.02066029843
ackley	10	0.004702367224	0.1181569725	0.03455089789	0.02561667667
ackley	20	0.003530561409	0.1479159227	0.04461172224	0.03242756361
ackley	25	0.004540849234	0.1119635582	0.03985217386	0.02579679241
ackley	50	0.01350246147	0.1329174304	0.05147110077	0.02778615963
ackley	100	0.008405302822	0.1980972668	0.05106510971	0.04339359213
ackley	200	0.006861838162	0.1231436004	0.05394805334	0.03172883533
ackley	500	0.007141217703	0.139119504	0.05607459771	0.03028577141
bent cigar	1	2.61289803140148e-27	2.59096087387046e-18	8.91820418216879e-20	4.64753203742589e-19
bent cigar	2	0.00009960127388	0.9804317815	0.1405332011	0.2593656034
bent cigar	5	0.2038212052	146.4099248	20.59628919	33.12906416
bent cigar	10	8.201661959	2180.445114	342.6643821	549.5207658
bent cigar	20	10.57742118	14960.75088	2444.467025	3306.280143
bent cigar	25	5.963484128	9497.166804	1934.101248	2599.170015
bent cigar	50	233.2403746	49449.9335	10229.11082	11298.57861
bent cigar	100	226.5253203	43290.31268	9692.97786	8612.556798
bent cigar	200	1044.638413	182765.3004	46159.04158	45923.78914
bent cigar	500	2742.512925	300073.0731	94532.92158	74620.80818
different power	1	0	0.0000001871029726	0.00000001027046882	0.00000003916161157
different power	2	0.0000000001004603415	0.005885848639	0.0002915403617	0.001045448881
different power	5	0.000001839299896	0.01265696359	0.00199463303	0.002614423766
different power	10	0.00008105584112	0.02378741598	0.003250680136	0.004489742004
different power	20	0.0005984623583	0.01766987403	0.004399844989	0.003792450219
different power	25	0.0001827450684	0.0325980464	0.007426266508	0.007455657828
different power	50	0.001560078186	0.04027576916	0.0143662129	0.01257800476
different power	100	0.003274476074	0.06033234175	0.02737717272	0.01683902688
different power	200	0.005059908463	0.09119454399	0.04030734253	0.0232128802
different power	500	0.006205418931	0.1860661814	0.07288698997	0.05177690518
discus	1	0	0.000000001016463935	0	0.0000000001823495249
discus	2	0.001050400043	1.136190985	0.1977596114	0.2709187047
discus	5	0.002965788524	2.384373719	0.3677801961	0.5727217362
discus	10	0.00242226865	2.906961905	0.555556531	0.7278121091
discus	20	0.01238345193	7.031856834	0.8467324829	1.368938864
discus	25	0.002763997047	1.600122549	0.4163856563	0.408427847
discus	50	0.004855529557	7.147574554	0.7681862532	1.352201695
discus	100	0.03573711212	1.796071563	0.6832376937	0.5337248348
discus	200	0.04054494216	4.593998486	0.6597553088	0.9157448033
discus	500	0.01185088352	3.096862869	0.8398016394	0.791045146
ellipsoid	1	1.17334250113584e-27	1.37309997534027e-18	6.0293062399485e-20	2.53215080514284e-19
ellipsoid	2	0	0.000001053068984	0.00000008218285073	0.0000002556963981
ellipsoid	5	0.0000001932068615	0.001848510252	0.0001682980779	0.0003309871586
ellipsoid	10	0.00003904841809	0.03342208887	0.00282331924	0.006139037388
ellipsoid	20	0.0003477716062	0.1328244485	0.02596062817	0.03337154905
ellipsoid	25	0.0003621055714	0.1358641335	0.03417363657	0.03260926063
ellipsoid	50	0.004377753444	0.6843250966	0.1481946088	0.161180365
ellipsoid	100	0.04450941648	2.632789638	0.8386997031	0.6819655507
ellipsoid	200	0.4151654623	9.326746658	3.360116104	2.383212096
ellipsoid	500	0.7056231828	111.5135901	31.94894546	25.18548621
elliptic	1	6.45585556144772e-14	0.01054951055	0.0003683329982	0.001892692033
elliptic	2	0.0002527924457	0.9729552908	0.1217418954	0.2445400395
elliptic	5	0.003197956218	8.470191831	1.12822545	1.79794012
elliptic	10	0.02207352374	218.7006723	10.29482448	38.91082885
elliptic	20	0.329892658	362.1660644	28.54701322	69.88025124
elliptic	25	0.1894290478	137.4407518	29.11374342	40.8250154
elliptic	50	2.371233978	580.106882	118.9469857	151.9979178
elliptic	100	6.34161427	3792.767226	671.0897535	867.9144708
elliptic	200	21.90816506	5921.294159	1663.787166	1735.46746
elliptic	500	245.6834976	19610.0512	6672.671461	5613.026535
expanded schaffer f6	1	0	1.11022302462516e-16	3.70074341541719e-18	1.99291132009394e-17
expanded schaffer f6	2	0	0.01943183032	0.01489933583	0.008215829685
expanded schaffer f6	5	0.00002248652181	1.37949835	0.4785199973	0.3119136019
expanded schaffer f6	10	0.00002525649326	3.715512352	1.963212009	1.019506023
expanded schaffer f6	20	0.001901533126	7.57268521	5.718471462	2.040958959
expanded schaffer f6	25	0.004148134061	10.78912678	7.901582369	2.362210338
expanded schaffer f6	50	0.005510039708	21.92517226	16.13360044	7.345047717
expanded schaffer f6	100	0.001966325795	44.99299201	32.30092279	17.88643315
expanded schaffer f6	200	80.55722618	94.73417155	89.14700847	3.423817062
expanded schaffer f6	500	1.738704971	240.6234446	225.4024012	41.83410582
griewank	1	0	0	0	0
griewank	2	0	0.04857390728	0.008687006294	0.01293719617
griewank	5	0.0000003726731392	0.1971300194	0.006608726444	0.03537905853
griewank	10	0.0000001972447885	0.001212322504	0.0001168253387	0.0002872180474
griewank	20	0.000006677383886	0.0005406389227	0.00009748319905	0.0001256307892
griewank	25	0.000006191015735	0.001024424785	0.0001837005339	0.0002320443803
griewank	50	0.000002141383071	0.0008292653383	0.0001658792328	0.0002014977484
griewank	100	0.000005515721038	0.003687833761	0.0004512181896	0.0006618058072
griewank	200	0.000002351387971	0.001207610472	0.0002727189204	0.0002985493308
griewank	500	0.00001022128387	0.00139560519	0.0006227408988	0.0004870084447
happycat	1	0.001009435751	0.01299741064	0.003175244407	0.002991480201
happycat	2	0.002666906872	0.2684922319	0.06406579305	0.06435156248
happycat	5	0.15486728	1.253224424	0.5830995812	0.2607801772
happycat	10	0.3627661495	1.422723845	0.800759789	0.2638269036
happycat	20	0.6840588271	1.311166272	1.002896843	0.2074312821
happycat	25	0.7461029192	1.470052747	1.059745682	0.1976976125
happycat	50	0.7887425879	1.249896531	1.09535507	0.1028343725
happycat	100	0.9437027793	1.399019176	1.127660026	0.1112600054
happycat	200	0.9339827579	1.668460607	1.144288148	0.1648451031
happycat	500	0.9898396966	1.769669471	1.227207112	0.1969377502
hgbat	1	0.000004916796144	0.07973099025	0.006737479077	0.01763256459
hgbat	2	0.0007113413274	0.4898422154	0.1229496206	0.09859968154
hgbat	5	0.246515395	0.5557940264	0.4462663747	0.07482369763
hgbat	10	0.4011535992	0.7476662603	0.5267081293	0.07620135224
hgbat	20	0.4650191823	0.9144500211	0.5579393036	0.08640581757
hgbat	25	0.4219533285	0.7613007512	0.5593607043	0.06923798992
hgbat	50	0.4740688918	0.8030428173	0.5813749096	0.08713106434
hgbat	100	0.5060079149	1.034615301	0.5692158448	0.09928587972
hgbat	200	0.502925421	0.630003168	0.5400649635	0.02714228343
hgbat	500	0.5156521861	1.301228545	0.5812137752	0.1388890821
katsuura	1	0.000000002955857781	0.350214912	0.02521037322	0.07367244299
katsuura	2	0.00004927337648	1.421560364	0.2924371689	0.3654520171
katsuura	5	0.2513281043	1.394613942	0.7171762078	0.2770944887
katsuura	10	0.6766708876	2.968145986	1.489146156	0.5420155565
katsuura	20	0.967613447	3.982555856	2.420416672	0.6899328885
katsuura	25	1.933387715	3.749572451	2.841975868	0.4755542859
katsuura	50	2.57306093	5.821949323	4.27543958	0.7918308389
katsuura	100	3.853566572	6.276710761	4.822938459	0.6266928212
katsuura	200	3.139285096	4.394936428	3.768589497	0.3334097226
katsuura	500	1.448220624	1.766326318	1.620210841	0.07796136796
levy	1	3.0590477864423e-26	3.3604447215619e-20	2.0987939437742e-21	7.55257016807479e-21
levy	2	8.80674370191769e-20	0.0002207877261	0.00001828395107	0.00005161340114
levy	5	0.0004239116388	0.05410497231	0.007869139613	0.01045096562
levy	10	0.005361723936	0.1490800727	0.03487827347	0.03873221046
levy	20	0.01125889535	0.4902796449	0.06150643983	0.1002407716
levy	25	0.01061159382	0.1774096446	0.05918112937	0.04361902389
levy	50	0.02303837138	0.4928597278	0.1155320054	0.1055465735
levy	100	0.04754321388	0.5379545371	0.1867460974	0.132682172
levy	200	0.09437029729	2.59199377	0.4717350019	0.5189803254
levy	500	0.2802863387	3.834605142	1.032556453	0.8284103318
rastrigin	1	0	2.76401124210679e-12	9.52127265918535e-14	4.95697906231364e-13
rastrigin	2	0.000000000253162824	1.195125053	0.04352634267	0.2143223537
rastrigin	5	0.0005941875394	1.732680905	0.1148779765	0.3175039083
rastrigin	10	0.001399685648	1.769987553	0.2710212638	0.3697092073
rastrigin	20	0.006060286279	3.581635191	0.832107091	0.9031597635
rastrigin	25	0.01844474501	3.373625463	0.9556896596	0.8459983775
rastrigin	50	0.3215188579	16.63695061	2.902381434	2.912233319
rastrigin	100	0.117239769	13.09557362	3.914331353	3.169349563
rastrigin	200	0.4265913186	34.57074031	8.909022213	8.127383287
rastrigin	500	0.5323807284	112.4914826	24.6629844	23.70366895
rosenbrock	1	0	0	0	0
rosenbrock	2	0.00000005122313529	27.17408716	2.52269028	6.713532773
rosenbrock	5	0.05288003982	3.105001506	0.6110921409	0.7418362098
rosenbrock	10	0.2243715069	2.794686832	1.204293097	0.6411017197
rosenbrock	20	0.4938617089	6.378758638	2.688675829	1.519684151
rosenbrock	25	0.4563545874	12.42079693	3.73676649	2.409063276
rosenbrock	50	1.251980572	27.64421644	9.772867395	5.826024752
rosenbrock	100	1.013844617	36.62488861	16.44777777	7.074454419
rosenbrock	200	4.218921887	57.45006388	30.13119366	11.27918609
rosenbrock	500	11.6041553	202.9628571	76.25769319	42.26296738
schwefel1.2 problem	1	1.1949177534087e-26	1.32120367116639e-18	4.40975458710206e-20	2.37152704890342e-19
schwefel1.2 problem	2	1.10842517283819e-12	0.000009155462618	0.0000007443860198	0.000001987202183
schwefel1.2 problem	5	0.000002439917829	0.0020135973	0.000318157225	0.0004769375396
