function	dimension	best	worst	avg	std
bent cigar	1	2.61289803140148e-27	2.59096087387046e-18	8.91820418216879e-20	4.64753203742589e-19
bent cigar	2	0.00009960127388	0.9804317815	0.1405332011	0.2593656034
bent cigar	5	0.2038212052	146.4099248	20.59628919	33.12906416
bent cigar	10	8.201661959	2180.445114	342.6643821	549.5207658
bent cigar	20	10.57742118	14960.75088	2444.467025	3306.280143
bent cigar	25	5.963484128	9497.166804	1934.101248	2599.170015
bent cigar	50	233.2403746	49449.9335	10229.11082	11298.57861
bent cigar	100	226.5253203	43290.31268	9692.97786	8612.556798
bent cigar	200	1044.638413	182765.3004	46159.04158	45923.78914
bent cigar	500	2742.512925	300073.0731	94532.92158	74620.80818
