function	dimension	best	worst	avg	std
different power	1	0	0.0000001871029726	0.00000001027046882	0.00000003916161157
different power	2	0.0000000001004603415	0.005885848639	0.0002915403617	0.001045448881
different power	5	0.000001839299896	0.01265696359	0.00199463303	0.002614423766
different power	10	0.00008105584112	0.02378741598	0.003250680136	0.004489742004
different power	20	0.0005984623583	0.01766987403	0.004399844989	0.003792450219
different power	25	0.0001827450684	0.0325980464	0.007426266508	0.007455657828
different power	50	0.001560078186	0.04027576916	0.0143662129	0.01257800476
different power	100	0.003274476074	0.06033234175	0.02737717272	0.01683902688
different power	200	0.005059908463	0.09119454399	0.04030734253	0.0232128802
different power	500	0.006205418931	0.1860661814	0.07288698997	0.05177690518
