function	dimension	best	worst	avg	std
ellipsoid	1	1.17334250113584e-27	1.37309997534027e-18	6.0293062399485e-20	2.53215080514284e-19
ellipsoid	2	0	0.000001053068984	0.00000008218285073	0.0000002556963981
ellipsoid	5	0.0000001932068615	0.001848510252	0.0001682980779	0.0003309871586
ellipsoid	10	0.00003904841809	0.03342208887	0.00282331924	0.006139037388
ellipsoid	20	0.0003477716062	0.1328244485	0.02596062817	0.03337154905
ellipsoid	25	0.0003621055714	0.1358641335	0.03417363657	0.03260926063
ellipsoid	50	0.004377753444	0.6843250966	0.1481946088	0.161180365
ellipsoid	100	0.04450941648	2.632789638	0.8386997031	0.6819655507
ellipsoid	200	0.4151654623	9.326746658	3.360116104	2.383212096
ellipsoid	500	0.7056231828	111.5135901	31.94894546	25.18548621
