function	dimension	best	worst	avg	std
elliptic	1	6.45585556144772e-14	0.01054951055	0.0003683329982	0.001892692033
elliptic	2	0.0002527924457	0.9729552908	0.1217418954	0.2445400395
elliptic	5	0.003197956218	8.470191831	1.12822545	1.79794012
elliptic	10	0.02207352374	218.7006723	10.29482448	38.91082885
elliptic	20	0.329892658	362.1660644	28.54701322	69.88025124
elliptic	25	0.1894290478	137.4407518	29.11374342	40.8250154
elliptic	50	2.371233978	580.106882	118.9469857	151.9979178
elliptic	100	6.34161427	3792.767226	671.0897535	867.9144708
elliptic	200	21.90816506	5921.294159	1663.787166	1735.46746
elliptic	500	245.6834976	19610.0512	6672.671461	5613.026535
