function	dimension	best	worst	avg	std
expanded schaffer f6	1	0	1.11022302462516e-16	3.70074341541719e-18	1.99291132009394e-17
expanded schaffer f6	2	0	0.01943183032	0.01489933583	0.008215829685
expanded schaffer f6	5	0.00002248652181	1.37949835	0.4785199973	0.3119136019
expanded schaffer f6	10	0.00002525649326	3.715512352	1.963212009	1.019506023
expanded schaffer f6	20	0.001901533126	7.57268521	5.718471462	2.040958959
expanded schaffer f6	25	0.004148134061	10.78912678	7.901582369	2.362210338
expanded schaffer f6	50	0.005510039708	21.92517226	16.13360044	7.345047717
expanded schaffer f6	100	0.001966325795	44.99299201	32.30092279	17.88643315
expanded schaffer f6	200	80.55722618	94.73417155	89.14700847	3.423817062
expanded schaffer f6	500	1.738704971	240.6234446	225.4024012	41.83410582
