function	dimension	best	worst	avg	std
happycat	1	0.001009435751	0.01299741064	0.003175244407	0.002991480201
happycat	2	0.002666906872	0.2684922319	0.06406579305	0.06435156248
happycat	5	0.15486728	1.253224424	0.5830995812	0.2607801772
happycat	10	0.3627661495	1.422723845	0.800759789	0.2638269036
happycat	20	0.6840588271	1.311166272	1.002896843	0.2074312821
happycat	25	0.7461029192	1.470052747	1.059745682	0.1976976125
happycat	50	0.7887425879	1.249896531	1.09535507	0.1028343725
happycat	100	0.9437027793	1.399019176	1.127660026	0.1112600054
happycat	200	0.9339827579	1.668460607	1.144288148	0.1648451031
happycat	500	0.9898396966	1.769669471	1.227207112	0.1969377502
