function	dimension	best	worst	avg	std
hgbat	1	0.000004916796144	0.07973099025	0.006737479077	0.01763256459
hgbat	2	0.0007113413274	0.4898422154	0.1229496206	0.09859968154
hgbat	5	0.246515395	0.5557940264	0.4462663747	0.07482369763
hgbat	10	0.4011535992	0.7476662603	0.5267081293	0.07620135224
hgbat	20	0.4650191823	0.9144500211	0.5579393036	0.08640581757
hgbat	25	0.4219533285	0.7613007512	0.5593607043	0.06923798992
hgbat	50	0.4740688918	0.8030428173	0.5813749096	0.08713106434
hgbat	100	0.5060079149	1.034615301	0.5692158448	0.09928587972
hgbat	200	0.502925421	0.630003168	0.5400649635	0.02714228343
hgbat	500	0.5156521861	1.301228545	0.5812137752	0.1388890821
