function	dimension	best	worst	avg	std
katsuura	1	0.000000002955857781	0.350214912	0.02521037322	0.07367244299
katsuura	2	0.00004927337648	1.421560364	0.2924371689	0.3654520171
katsuura	5	0.2513281043	1.394613942	0.7171762078	0.2770944887
katsuura	10	0.6766708876	2.968145986	1.489146156	0.5420155565
katsuura	20	0.967613447	3.982555856	2.420416672	0.6899328885
katsuura	25	1.933387715	3.749572451	2.841975868	0.4755542859
katsuura	50	2.57306093	5.821949323	4.27543958	0.7918308389
katsuura	100	3.853566572	6.276710761	4.822938459	0.6266928212
katsuura	200	3.139285096	4.394936428	3.768589497	0.3334097226
katsuura	500	1.448220624	1.766326318	1.620210841	0.07796136796
