function	dimension	best	worst	avg	std
rastrigin	1	0	2.76401124210679e-12	9.52127265918535e-14	4.95697906231364e-13
rastrigin	2	0.000000000253162824	1.195125053	0.04352634267	0.2143223537
rastrigin	5	0.0005941875394	1.732680905	0.1148779765	0.3175039083
rastrigin	10	0.001399685648	1.769987553	0.2710212638	0.3697092073
rastrigin	20	0.006060286279	3.581635191	0.832107091	0.9031597635
rastrigin	25	0.01844474501	3.373625463	0.9556896596	0.8459983775
rastrigin	50	0.3215188579	16.63695061	2.902381434	2.912233319
rastrigin	100	0.117239769	13.09557362	3.914331353	3.169349563
rastrigin	200	0.4265913186	34.57074031	8.909022213	8.127383287
rastrigin	500	0.5323807284	112.4914826	24.6629844	23.70366895
