function	dimension	best	worst	avg	std
rosenbrock	1	0	0	0	0
rosenbrock	2	0.00000005122313529	27.17408716	2.52269028	6.713532773
rosenbrock	5	0.05288003982	3.105001506	0.6110921409	0.7418362098
rosenbrock	10	0.2243715069	2.794686832	1.204293097	0.6411017197
rosenbrock	20	0.4938617089	6.378758638	2.688675829	1.519684151
rosenbrock	25	0.4563545874	12.42079693	3.73676649	2.409063276
rosenbrock	50	1.251980572	27.64421644	9.772867395	5.826024752
rosenbrock	100	1.013844617	36.62488861	16.44777777	7.074454419
rosenbrock	200	4.218921887	57.45006388	30.13119366	11.27918609
rosenbrock	500	11.6041553	202.9628571	76.25769319	42.26296738
