function	dimension	avg	best	worst	std
schwefel 1.2 problem	1	8.478922203380397e-21	3.9568444746912507e-26	1.2695008679024662e-19	3.154027183124647e-20
schwefel 1.2 problem	2	1.920810560307929e-07	9.697945287466498e-16	2.680941711621602e-06	6.206259710770493e-07
schwefel 1.2 problem	5	0.00014353526860867981	5.567848832497507e-06	0.0010504008247812432	0.00021125670588399638
schwefel 1.2 problem	10	0.0013346237259518091	5.2796909824153734e-05	0.004702712881022096	0.0014046566872608457
schwefel 1.2 problem	20	0.010467919337335273	0.00011286962261343732	0.06496264319349175	0.013689750141858114
schwefel 1.2 problem	25	0.013994739754812168	0.000315812576398833	0.048734600657280025	0.013951268196581093
schwefel 1.2 problem	50	0.23179725222660555	0.0008676288314679003	4.238932358568339	0.7507394265149371
schwefel 1.2 problem	100	1.7026433957482618	0.07073688339296358	11.731612705959327	2.4710062822341516
schwefel 1.2 problem	200	6.767450444087571	0.15891546213971527	24.92052950011028	6.65512959688796
schwefel 1.2 problem	500	68.92291358815018	3.560440547890099	257.7205118853605	70.65240433231338
