function	dimension	best	worst	avg	std
shubert	1	-14.50800793	-14.4850397	-14.50663197	0.004786921153
shubert	2	-210.482294	-145.2734024	-203.6889819	13.93959172
shubert	5	-311767.3658	-22420.50278	-100272.6168	78410.97865
shubert	10	-12994008362	-28088216.03	-891118586.2	2334086640
shubert	20	-1.09234e+17	-10845755885578	-5.17882e+15	1.97306e+16
shubert	25	-3.65365e+19	-7.28396e+15	-3.14883e+18	7.71085e+18
shubert	50	-3.99253e+35	-6.51164e+28	-1.39031e+34	7.15787e+34
shubert	100	-2.42367e+66	-6.29434e+51	-8.07946e+64	4.3506e+65
shubert	200	-7.42827e+116	-4.79585e+97	-2.48262e+115	1.3333e+116
shubert	500	-4.09294e+265	-4.53956e+228	-1.36432e+264	nan
