function	dimension	avg	best	worst	std
sphere	1	3.2922590725430767e-19	6.867446819174426e-27	9.614158577439667e-18	1.7247616909714598e-18
sphere	2	8.779600476372702e-08	8.002903859516856e-17	2.503110016102556e-06	4.4859968924107015e-07
sphere	5	5.034535116077857e-05	6.693528804520526e-07	0.00025029194827680276	6.27048071570245e-05
sphere	10	0.00039638099760835844	1.5847030327005e-05	0.003134746253957517	0.0006502563365464492
sphere	20	0.001524661358138847	4.409053861712188e-05	0.014080581234609531	0.0027193664087578006
sphere	25	0.0026030366186169055	8.939886887002325e-05	0.009016084352380575	0.002374000909927836
sphere	50	0.006834098135023768	0.00011942510788290419	0.031502954647702204	0.0072626899029503405
sphere	100	0.028062550738289078	0.0010442389480091003	0.07501353547903579	0.024074918044683653
sphere	200	0.03481841549082111	0.0013086410961496307	0.1990210603592623	0.041455947648670055
sphere	500	0.08833988674893826	0.010836647488314168	0.3202389583965932	0.07464049662767949
