function	dimension	best	worst	avg	std
vincent	1	-1	-0.9999999996	-1	0
vincent	2	-0.999999999999999	-0.9961385176	-0.9995547067	0.001017897553
vincent	5	-0.9926703276	-0.8406835943	-0.9434474047	0.04323862758
vincent	10	-0.9985911354	-0.6414524591	-0.8049727615	0.1023797199
vincent	20	-0.9802423293	-0.3987332508	-0.5475173224	0.103575614
vincent	25	-0.6787917677	-0.3575968114	-0.5030812167	0.07965186016
vincent	50	-0.9511209783	-0.2443342524	-0.3924061116	0.1186179432
vincent	100	-0.9990216026	-0.1988676188	-0.4068364533	0.2616218616
vincent	200	-0.998118145	-0.1591070503	-0.3253945597	0.2622041677
vincent	500	-0.9988305681	-0.1441132493	-0.6572202853	0.3904669418
