function	dimension	best	worst	avg	std
zakharov	1	8.71537003125351e-26	9.54041974060177e-15	3.23314915713528e-16	1.71178820187783e-15
zakharov	2	4.42676568379053e-14	0.00000290993877	0.0000002582365935	0.0000007068161935
zakharov	5	0.000005889499559	0.001219317586	0.0001704768099	0.000251654216
zakharov	10	0.00001901974883	0.002355813748	0.0006761133187	0.0006401218011
zakharov	20	0.0000368140228	0.01483846173	0.00318045361	0.003821786972
zakharov	25	0.0001621435074	0.06498798238	0.008916033236	0.01440938523
zakharov	50	0.0001145614182	0.1446426593	0.03384253909	0.0376558919
zakharov	100	0.002047798404	0.9244936379	0.09256455416	0.1660034393
zakharov	200	0.002703733446	1.6215903	0.3180179499	0.3964969009
zakharov	500	0.08295322193	9.869235716	1.66491375	2.015369887
