function	dimension	best	worst	avg	std
ackley	1	4.44089209850063e-16	0.0006550685648	0.00007761838931	0.0001510226632
ackley	2	4.44089209850063e-16	0.05614930871	0.009249657606	0.01517434831
ackley	5	0.00002495839998	0.02410160727	0.004867232068	0.005521286778
ackley	10	0.000002000159825	1.418220737	0.06949096764	0.2642136291
ackley	20	0.0000103702057	18.02059559	1.648120324	4.403682767
ackley	25	0.00001518613042	2.037651069	0.1287499038	0.3892686775
ackley	50	0.00004594063811	19.99999996	1.457780976	4.990191393
ackley	100	0.00001575371403	20.00346755	2.871505423	6.753640084
ackley	200	0.00001902537305	19.92641253	1.411046803	4.214044257
ackley	500	0.00006489133239	19.99999996	0.8251535458	3.591820733
bent cigar	1	0	0.0000002234089165	0.000000009568766386	0.00000004103023001
bent cigar	2	0.0000007724455339	5.228373992	0.580021714	1.298674978
bent cigar	5	0.0001093046313	378.2524708	18.55548224	67.87375258
bent cigar	10	0.001327775584	1391.257029	112.8801794	310.9528369
bent cigar	20	0.00879879176	2934.640088	145.3373352	542.9860054
bent cigar	25	0.0006133775449	11683.88976	578.7082973	2133.057829
bent cigar	50	0.0001054553858	29623.09931	1376.766558	5480.599874
bent cigar	100	0.000558676475	17403.87283	1133.154768	3272.876755
bent cigar	200	0.03858054944	4953.817446	472.4518189	1015.112713
bent cigar	500	0.001710240847	385838.4828	13614.30788	69129.94472
different power	1	0	0.000487038632	0.00003271588873	0.00009179186685
different power	2	0.00000004975428276	0.0005640425339	0.00007941430261	0.0001500207818
different power	5	0.0000039128883	0.005747127432	0.0006575499395	0.001330057139
different power	10	0.000001743220048	0.006952503606	0.001157860986	0.001931155405
different power	20	0.000001169504138	0.006433422671	0.0008079597519	0.001316226281
different power	25	0.000004190677906	0.006395197556	0.001430507511	0.001829897038
different power	50	0.0000005360305992	0.01960468428	0.002393018404	0.0043843304
different power	100	0.00001134310412	0.0232647072	0.002612111854	0.004680823067
different power	200	0.000002243173948	0.0183379254	0.002703138284	0.0042521614
different power	500	0.000004301652208	0.06613921525	0.006032098703	0.01293709815
discus	1	0	0.1702002757	0.007247649631	0.03067431218
discus	2	0.0000000006932062988	7.736837762	0.5376945711	1.493911834
discus	5	0.0000005874602556	0.9685920945	0.1782626115	0.3059589787
discus	10	0.000007080373152	3.66064135	0.3501125465	0.9007113753
discus	20	0.0000004042685165	2.248051892	0.1229940785	0.4378595468
discus	25	0.00001546249435	7.121391148	0.6325550642	1.481538398
discus	50	0.0000002370164164	44.57698056	2.553382736	8.17947033
discus	100	0.00000002304677086	79.29407321	3.914181914	14.64909415
discus	200	0.0000003865401749	80.8119059	3.095246476	14.45171018
discus	500	0.0001055935291	122.6793893	7.193195393	26.55393411
ellipsoid	1	0	0.00000005827031693	0.000000003748000974	0.00000001178475523
ellipsoid	2	9.26917450680916e-13	0.0001507629473	0.000006412616006	0.00002694318505
ellipsoid	5	1.54734202106889e-11	0.001186241166	0.00008320609285	0.0002591112102
ellipsoid	10	0.000000001489157449	0.4681890652	0.01569751429	0.08402586755
ellipsoid	20	0.00000001110225164	1.02886103	0.03523372847	0.1845387451
ellipsoid	25	4.92871700563951e-11	0.1759600751	0.008666780266	0.03181347046
ellipsoid	50	0.00000002387670493	2.077611148	0.08251238984	0.3727219704
ellipsoid	100	0.000000982420318	0.3546005128	0.02840976363	0.07471184902
ellipsoid	200	0.000006237223705	4.31241754	0.2050553605	0.7752117498
ellipsoid	500	0.000002373788235	414.9508306	16.72221901	74.61748829
elliptic	1	0	3345.822628	227.4125352	745.0557131
elliptic	2	0.0000000008387157524	1.834130767	0.1824588866	0.3714090878
elliptic	5	0.00002169468026	40.70100567	3.296722372	8.352634466
elliptic	10	0.000001849319275	526.6286256	18.67917963	94.34499423
elliptic	20	0.0000077308119	373.8493164	16.18709215	66.94937864
elliptic	25	0.000007207182663	1511.481728	78.26394466	283.626343
elliptic	50	0.0000005152051419	2519.287154	108.1303835	452.5513795
elliptic	100	0.0000002497840979	610.428548	52.4217663	126.6822778
elliptic	200	0.0005002021518	2864.72744	167.0348407	538.999299
elliptic	500	0.00003392830992	13482.4738	670.0238944	2463.114402
expanded schaffer f6	1	0	0.0117936074	0.00201624912	0.003674495836
expanded schaffer f6	2	0	0.1611247709	0.03506757186	0.03177611606
expanded schaffer f6	5	0.03009470033	1.939924496	0.8003766178	0.4769368274
expanded schaffer f6	10	0.2053767378	4.282090891	2.748434184	0.8063242774
expanded schaffer f6	20	0.2537995559	8.805438239	5.979748498	2.002043782
expanded schaffer f6	25	0.06848079818	11.51264038	7.53173242	3.272056598
expanded schaffer f6	50	0.0001727810604	23.94583432	17.3199196	6.457476649
expanded schaffer f6	100	0.02936760594	47.84003504	35.92792289	15.3957387
expanded schaffer f6	200	3.559901044	95.00387823	75.96933743	28.71346894
expanded schaffer f6	500	7.991886789	241.0737057	197.8316959	64.85864941
griewank	1	0	0.03226135151	0.004507828681	0.007319529271
griewank	2	0.000000001633869373	0.1335166746	0.03462632458	0.03023762764
griewank	5	0.000000001159604857	0.6395544161	0.1932932392	0.2129804247
griewank	10	0.000000006052090273	0.0001662785518	0.00001389535689	0.00003711294099
griewank	20	0.0000000009817545665	0.0001922096164	0.000009727195334	0.00003448278355
griewank	25	5.17741405303696e-12	0.00005521962618	0.000004489367142	0.00001198722141
griewank	50	0.0000000003620542754	0.0008286926022	0.00003201525491	0.0001482479756
griewank	100	0	0.00009773271415	0.00001008047908	0.00002482023194
griewank	200	0.000000001607630473	0.0000693863417	0.00000948804235	0.00001999826469
griewank	500	0.000000004661120601	0.0002213495979	0.00001830622253	0.00004416303711
happycat	1	0.01159218976	0.2764085443	0.1172689585	0.06901057147
happycat	2	0.07917574069	0.5955989032	0.2732021748	0.142404641
happycat	5	0.103884055	1.226001782	0.4920132507	0.2830688782
happycat	10	0.156140596	1.129730854	0.6299349501	0.2677180363
happycat	20	0.3813030185	1.380156201	0.7688370805	0.2792408467
happycat	25	0.2369883512	1.419393643	0.6724790251	0.2967411119
happycat	50	0.2905206743	1.555385832	0.8758836154	0.3296435951
happycat	100	0.4133287758	1.432055792	0.9340037973	0.2879266929
happycat	200	0.5073517707	2.005377873	1.161159463	0.3693977999
happycat	500	0.3749835768	2.16954215	1.391827399	0.4147804755
hgbat	1	0.0002591702077	0.1660113814	0.02124964707	0.03102968114
hgbat	2	0.01183056897	0.5006942725	0.2577728326	0.1658405256
hgbat	5	0.06841884575	0.5304426287	0.4640711243	0.09676593576
hgbat	10	0.3892369271	0.5501234687	0.4964538992	0.02604161334
hgbat	20	0.498615694	0.6327554908	0.5175920062	0.03249951802
hgbat	25	0.328520952	0.9759974755	0.5192899863	0.09597863908
hgbat	50	0.4992806111	1.87725926	0.6076779566	0.2871712858
hgbat	100	0.5000001892	1.31159186	0.5703847908	0.16851511
hgbat	200	0.5000110016	1.878676474	0.6209889813	0.2910496266
hgbat	500	0.5010751102	5.54228023	0.8738270166	0.9942266281
katsuura	1	0	0.5643107404	0.06326805466	0.1490910751
katsuura	2	0	2.581565766	0.5513700316	0.8785105775
katsuura	5	0	2.625856834	0.2886407525	0.7504386399
katsuura	10	0	1.493565079	0.09696058902	0.3335064417
katsuura	20	0	5.452265998	0.3330613042	1.250043993
katsuura	25	0	4.718823341	0.1595171163	0.8467031514
katsuura	50	0	5.834343461	0.1959977936	1.047045269
katsuura	100	0	0.0003867593904	0.00003073213155	0.00007439354901
katsuura	200	0	0.00002201941316	0.000002742948939	0.000005803643608
katsuura	500	0	0.00001305711063	0.0000009111959751	0.0000023846354
levy	1	3.83756480576717e-18	0.000001196447562	0.00000009609702223	0.0000002720268136
levy	2	0.000005052730793	0.1071829894	0.02444466424	0.03121644589
levy	5	0.0005402002203	0.5774358089	0.1195471898	0.1097616101
levy	10	0.0002754127918	0.3717318332	0.1268274902	0.1114253318
levy	20	0.0007063863883	0.9555065901	0.2998997076	0.2763452522
levy	25	0.01112525714	0.7521173889	0.2865197355	0.2419219603
levy	50	0.0003947960047	1.95951786	0.628114414	0.51322999
levy	100	0.003803759011	5.180113034	1.210711771	1.292604692
levy	200	0.001487491549	8.732528215	2.585560532	2.314444315
levy	500	0.07618517951	19.10410724	6.284168807	5.230775416
rastrigin	1	0	0.005824507015	0.0004457191098	0.001431450546
rastrigin	2	0.000000006567026034	5.008996907	1.152178435	1.175199727
