function	dimension	best	worst	avg	std
bent cigar	1	0	0.0000002234089165	0.000000009568766386	0.00000004103023001
bent cigar	2	0.0000007724455339	5.228373992	0.580021714	1.298674978
bent cigar	5	0.0001093046313	378.2524708	18.55548224	67.87375258
bent cigar	10	0.001327775584	1391.257029	112.8801794	310.9528369
bent cigar	20	0.00879879176	2934.640088	145.3373352	542.9860054
bent cigar	25	0.0006133775449	11683.88976	578.7082973	2133.057829
bent cigar	50	0.0001054553858	29623.09931	1376.766558	5480.599874
bent cigar	100	0.000558676475	17403.87283	1133.154768	3272.876755
bent cigar	200	0.03858054944	4953.817446	472.4518189	1015.112713
bent cigar	500	0.001710240847	385838.4828	13614.30788	69129.94472
