function	dimension	avg	best	worst	std
discus	1	0.028439355139727354	0.0	0.5382965703969053	0.10209117941745614
discus	2	0.3000149389942797	2.055333007540982e-06	6.858400294254807	1.2383933129569602
discus	5	0.47600775504683107	3.9518395380115e-05	4.78608525873686	1.0040163052368924
discus	10	0.8046557238481977	2.664416080450544e-07	17.76197274610757	3.1931892387699783
discus	20	0.4134874027021892	2.796440713826857e-09	3.8272185053961945	1.027068354726207
discus	25	2.5043668011839477	3.5456388773928518e-09	38.80588414283239	7.146904763469033
discus	50	0.7106858516652638	4.814004169456103e-08	8.128857846954906	1.7068989251729918
discus	100	1.0115438338930531	9.550935873810722e-07	10.476964491297016	2.4733149136051833
discus	200	0.8410762615836525	8.149107292051514e-06	22.43120281737683	4.019112537453645
discus	500	0.4128224951080054	1.02579186191068e-05	4.769877748635116	1.089989011529743
