function	dimension	best	worst	avg	std
elliptic	1	0	3345.822628	227.4125352	745.0557131
elliptic	2	0.0000000008387157524	1.834130767	0.1824588866	0.3714090878
elliptic	5	0.00002169468026	40.70100567	3.296722372	8.352634466
elliptic	10	0.000001849319275	526.6286256	18.67917963	94.34499423
elliptic	20	0.0000077308119	373.8493164	16.18709215	66.94937864
elliptic	25	0.000007207182663	1511.481728	78.26394466	283.626343
elliptic	50	0.0000005152051419	2519.287154	108.1303835	452.5513795
elliptic	100	0.0000002497840979	610.428548	52.4217663	126.6822778
elliptic	200	0.0005002021518	2864.72744	167.0348407	538.999299
elliptic	500	0.00003392830992	13482.4738	670.0238944	2463.114402
