function	dimension	best	worst	avg	std
expanded schaffer f6	1	0	0.0117936074	0.00201624912	0.003674495836
expanded schaffer f6	2	0	0.1611247709	0.03506757186	0.03177611606
expanded schaffer f6	5	0.03009470033	1.939924496	0.8003766178	0.4769368274
expanded schaffer f6	10	0.2053767378	4.282090891	2.748434184	0.8063242774
expanded schaffer f6	20	0.2537995559	8.805438239	5.979748498	2.002043782
expanded schaffer f6	25	0.06848079818	11.51264038	7.53173242	3.272056598
expanded schaffer f6	50	0.0001727810604	23.94583432	17.3199196	6.457476649
expanded schaffer f6	100	0.02936760594	47.84003504	35.92792289	15.3957387
expanded schaffer f6	200	3.559901044	95.00387823	75.96933743	28.71346894
expanded schaffer f6	500	7.991886789	241.0737057	197.8316959	64.85864941
