function	dimension	avg	best	worst	std
griewank	1	0.0027884366770632107	0.0	0.01688751094854335	0.004764675934528908
griewank	2	0.035340139923035516	3.1781806630881704e-08	0.16821436905126919	0.038266168390414294
griewank	5	0.1927279441543444	3.604956999581077e-09	0.778797459204908	0.23051771147212313
griewank	10	0.07404778536677462	1.2915779556976759e-11	0.8178513568236199	0.22282204140516826
griewank	20	1.4343509053142226e-05	6.621569959008866e-11	0.00017729535113031325	3.758866010960145e-05
griewank	25	3.695814176918333e-06	1.467892474238397e-11	5.3566331904786324e-05	1.0336862979800812e-05
griewank	50	2.0767913201928203e-05	6.122702345123798e-11	0.0005096595945794924	9.136257114754138e-05
griewank	100	2.8013548485994467e-05	1.3353129713067347e-10	0.0004666227504522835	8.939073908194478e-05
griewank	200	8.101591677115808e-06	1.0145725370946934e-09	0.00011752154731703435	2.253635679924719e-05
griewank	500	9.164743733492594e-05	4.1482706159001737e-11	0.0012430647827025298	0.000276274437672737
