function	dimension	best	worst	avg	std
happycat	1	0.01159218976	0.2764085443	0.1172689585	0.06901057147
happycat	2	0.07917574069	0.5955989032	0.2732021748	0.142404641
happycat	5	0.103884055	1.226001782	0.4920132507	0.2830688782
happycat	10	0.156140596	1.129730854	0.6299349501	0.2677180363
happycat	20	0.3813030185	1.380156201	0.7688370805	0.2792408467
happycat	25	0.2369883512	1.419393643	0.6724790251	0.2967411119
happycat	50	0.2905206743	1.555385832	0.8758836154	0.3296435951
happycat	100	0.4133287758	1.432055792	0.9340037973	0.2879266929
happycat	200	0.5073517707	2.005377873	1.161159463	0.3693977999
happycat	500	0.3749835768	2.16954215	1.391827399	0.4147804755
