function	dimension	best	worst	avg	std
hgbat	1	0.0002591702077	0.1660113814	0.02124964707	0.03102968114
hgbat	2	0.01183056897	0.5006942725	0.2577728326	0.1658405256
hgbat	5	0.06841884575	0.5304426287	0.4640711243	0.09676593576
hgbat	10	0.3892369271	0.5501234687	0.4964538992	0.02604161334
hgbat	20	0.498615694	0.6327554908	0.5175920062	0.03249951802
hgbat	25	0.328520952	0.9759974755	0.5192899863	0.09597863908
hgbat	50	0.4992806111	1.87725926	0.6076779566	0.2871712858
hgbat	100	0.5000001892	1.31159186	0.5703847908	0.16851511
hgbat	200	0.5000110016	1.878676474	0.6209889813	0.2910496266
hgbat	500	0.5010751102	5.54228023	0.8738270166	0.9942266281
