function	dimension	best	worst	avg	std
katsuura	1	0	0.5643107404	0.06326805466	0.1490910751
katsuura	2	0	2.581565766	0.5513700316	0.8785105775
katsuura	5	0	2.625856834	0.2886407525	0.7504386399
katsuura	10	0	1.493565079	0.09696058902	0.3335064417
katsuura	20	0	5.452265998	0.3330613042	1.250043993
katsuura	25	0	4.718823341	0.1595171163	0.8467031514
katsuura	50	0	5.834343461	0.1959977936	1.047045269
katsuura	100	0	0.0003867593904	0.00003073213155	0.00007439354901
katsuura	200	0	0.00002201941316	0.000002742948939	0.000005803643608
katsuura	500	0	0.00001305711063	0.0000009111959751	0.0000023846354
