function	dimension	best	worst	avg	std
levy	1	3.83756480576717e-18	0.000001196447562	0.00000009609702223	0.0000002720268136
levy	2	0.000005052730793	0.1071829894	0.02444466424	0.03121644589
levy	5	0.0005402002203	0.5774358089	0.1195471898	0.1097616101
levy	10	0.0002754127918	0.3717318332	0.1268274902	0.1114253318
levy	20	0.0007063863883	0.9555065901	0.2998997076	0.2763452522
levy	25	0.01112525714	0.7521173889	0.2865197355	0.2419219603
levy	50	0.0003947960047	1.95951786	0.628114414	0.51322999
levy	100	0.003803759011	5.180113034	1.210711771	1.292604692
levy	200	0.001487491549	8.732528215	2.585560532	2.314444315
levy	500	0.07618517951	19.10410724	6.284168807	5.230775416
