function	dimension	best	worst	avg	std
rastrigin	1	0	0.005824507015	0.0004457191098	0.001431450546
rastrigin	2	0.000000006567026034	5.008996907	1.152178435	1.175199727
rastrigin	5	0.00000005582679741	27.7350307	5.143548396	8.615848539
rastrigin	10	0.000000967152836	85.90923309	11.62533694	22.16540192
rastrigin	20	0.0000005169842083	96.7868737	7.607726172	21.2856925
rastrigin	25	0.000005620451805	42.30944872	4.141102311	11.72271818
rastrigin	50	0.000000516529246	369.7721203	12.9392901	66.31719865
rastrigin	100	0.000001642757699	88.97096708	8.400816553	23.3882851
rastrigin	200	0.000001803498591	55.54616605	2.026496279	9.958849786
rastrigin	500	0.0001730527788	10.51055014	0.483310764	1.879196911
