function	dimension	best	worst	avg	std
rosenbrock	1	0	0	0	0
rosenbrock	2	0.00001208522695	53.42116409	5.583776614	13.0981119
rosenbrock	5	0.000009589791853	3.962892399	0.6853070803	1.195406497
rosenbrock	10	0.001616952391	8.955291396	2.032720307	3.019303899
rosenbrock	20	0.0001738202836	18.80806924	3.829295603	5.203639798
rosenbrock	25	0.009986205761	23.8463684	4.508378621	7.716554531
rosenbrock	50	0.008659383249	48.6439939	11.2784637	17.7159921
rosenbrock	100	0.00006956718238	100.2470288	37.56667752	41.41060883
rosenbrock	200	0.3205565977	200.4169705	62.35053485	72.97223348
rosenbrock	500	0.1474045485	495.5702663	147.1728846	184.844033
