function	dimension	best	worst	avg	std
shubert	1	-14.50800793	-14.25392294	-14.49899631	0.0455267915
shubert	2	-210.3088694	-114.7422407	-182.4219761	26.73204332
shubert	5	-467362.134	-12607.32631	-60609.91368	86005.25282
shubert	10	-74258586449	-8986221.283	-5020083528	14875994453
shubert	20	-8.85991e+22	-1146090315673	-4.35308e+21	1.71324e+22
shubert	25	-1.08007e+29	-410685740943903	-3.60024e+27	1.93878e+28
shubert	50	-1.11466e+58	-1.49805e+27	-4.75072e+56	2.05793e+57
shubert	100	-1.07083e+116	-2.13857e+50	-4.15227e+114	1.93695e+115
shubert	200	-4.66198e+231	-1.73317e+96	-1.55399e+230	nan
shubert	500	nan	-3.22651e+231	nan	nan
