function	dimension	avg	best	worst	std
sphere	1	4.2768798667327154e-09	0.0	1.0455648300324726e-07	1.871456381803691e-08
sphere	2	3.384624361691527e-05	2.432798983956062e-10	0.0007262784139881286	0.00013456481671190933
sphere	5	9.307162414213855e-06	3.131412291886759e-11	9.167370094751184e-05	2.057190721501211e-05
sphere	10	0.00037056045657693227	5.781793539902468e-12	0.008937238338593318	0.0016220846822312188
sphere	20	8.00553367237559e-05	7.458255275891158e-10	0.001203430388196353	0.00023638964073205667
sphere	25	0.00020283495193002283	2.734797881871573e-09	0.004795263625111899	0.0008573359528589893
sphere	50	0.00028189023347106824	2.265332125513899e-09	0.0020306627835039726	0.0005710898097699705
sphere	100	0.0008666819149227685	1.4433600287133216e-08	0.008954446491771866	0.001800432265601899
sphere	200	0.00376062136648162	1.754669956467467e-08	0.05867228170886232	0.012972749382995433
sphere	500	0.0009545483167181386	1.2540167500595888e-08	0.016027323811016323	0.002964698069886149
