function	dimension	best	worst	avg	std
vincent	1	-0.9999999999	-0.9995398521	-0.9999442489	0.0000969833636
vincent	2	-0.9999815894	-0.9135343325	-0.9807083343	0.02510853472
vincent	5	-0.99996232	-0.6818728198	-0.886874671	0.08797662468
vincent	10	-0.9977573072	-0.3109953862	-0.7953634444	0.1551584606
vincent	20	-0.9807869634	-0.3150488152	-0.7913191285	0.1526313395
vincent	25	-0.9970832107	-0.3881605841	-0.7991243857	0.1581447871
vincent	50	-0.9989003131	-0.2156298617	-0.7204976333	0.1891291497
vincent	100	-0.9985993	-0.3106054105	-0.7705949863	0.2049153052
vincent	200	-0.9993041037	-0.3936889824	-0.7675342796	0.1736909959
vincent	500	-0.9998456278	-0.4083257374	-0.7890912615	0.1441080127
