function	dimension	best	worst	avg	std
zakharov	1	0	0.0000002710948822	0.00000001090426801	0.00000004906328642
zakharov	2	0	0.001986768387	0.00009870104352	0.0003826302648
zakharov	5	2.34109319914327e-12	0.006239798135	0.0002460290224	0.001116080583
zakharov	10	0.000000002118996806	0.01307709357	0.0006411959328	0.002369714894
zakharov	20	0.000000004354479532	0.03662297963	0.001390406428	0.006560717779
zakharov	25	0.000000001784292084	0.05349881245	0.004718984531	0.01178890826
zakharov	50	0.00000008893980254	0.0118288668	0.000886043401	0.002321512582
zakharov	100	0.00000008831165219	0.1225857826	0.009772670767	0.02520758767
zakharov	200	0.000001987196152	1.772765192	0.1336916213	0.3431156573
zakharov	500	0.000000001138164019	712.0312138	29.46611076	128.5130567
