function	dimension	avg	best	worst	std
ackley	1	9.298929034192345e-11	1.425526363618701e-13	8.485057101381699e-10	1.735555808181176e-10
ackley	2	1.2030591465261863e-07	4.499093098075946e-09	4.225683309933004e-07	1.1141557441401636e-07
ackley	5	15.446451373341016	0.0020537568766312297	20.24932153257657	8.434613977344984
ackley	10	20.49381577299414	20.256838710247038	20.689615941353903	0.13148446486442325
ackley	20	20.82930500563481	20.60790710559875	21.06514518418658	0.11395123318596126
ackley	25	20.95281380723832	20.69370909454698	21.150891405533464	0.11315681131836808
ackley	50	21.227390534109418	21.028475912015676	21.330270512175755	0.06847629777469275
ackley	100	21.370679844343833	21.28093357511365	21.433430375614343	0.05055452136047498
ackley	200	21.486811462065948	21.402270439635526	21.543447025825447	0.04036341383773519
ackley	500	21.579007927911707	21.54327320487973	21.609352872141624	0.01640309868935808
