function	dimension	avg	best	worst	std
sphere	1	6.036944432807766e-22	1.3074014041333012e-27	9.746669331670011e-21	1.772940294138266e-21
sphere	2	2.1978721336692508e-15	1.9255183308315708e-18	3.625483190206482e-14	6.662183154924975e-15
sphere	5	1.3449479260122232e-07	1.057041324159376e-09	8.730877420257211e-07	2.033842076083355e-07
sphere	10	0.02051521396372147	0.0010623331058304537	0.07315611956483961	0.017451035419368842
sphere	20	122.91378348345624	12.996577598660677	663.4368328309914	132.67499933295747
sphere	25	583.836651880875	203.1904951695274	1848.945365342241	396.0198686284881
sphere	50	38655.16207416125	12929.530742791356	99240.3631400938	17058.848430290225
sphere	100	253607.20663189553	190227.1027247484	287890.76317789836	22416.680551693178
sphere	200	572275.8298377445	507502.3486048511	598859.7755724601	22156.493606342177
sphere	500	1523945.3187751255	1473552.3726727085	1561663.2743064812	22573.69055293966
